basepk,topic,category
1042484,Bank Act amendment regarding bank nomenclature,Banking and Monetary Policy
1042382,bilingualism on banknotes and government documents,Banking and Monetary Policy
1042362,bilingual engraving of Bank of Canada notes,Banking and Monetary Policy
1042227,Dominion Franchise Act voter enumeration provisions,Government and Parliamentary Affairs
1042364,bilingual requirements for Bank of Canada notes,Banking and Monetary Policy
1042309,appointment of Bank of Canada directors,Banking and Monetary Policy
1042500,return to the gold standard,Banking and Monetary Policy
1042453,correction of newspaper report accuracy,Government and Parliamentary Affairs
1042468,naming rights for La Banque Canadienne Nationale,Banking and Monetary Policy
1042471,naming restrictions for Canadian National Bank,Banking and Monetary Policy
1042474,Bank Act Senate amendments,Banking and Monetary Policy
1042465,Bank Act amendment regarding bank names and penalties,Banking and Monetary Policy
1042334,British fiscal policy and the 1931 election,Public Finance and Taxation
1042048,government control of the Bank of Canada,Banking and Monetary Policy
1042482,use of the name National Canadian Bank,Banking and Monetary Policy
1042508,Bank of Canada securities capitalization,Banking and Monetary Policy
1042497,establishment of the gold standard,Banking and Monetary Policy
1042483,Bank Act amendment regarding agricultural fertilizer loans,Banking and Monetary Policy
1042488,Bank of Canada naming amendments,Banking and Monetary Policy
1042495,international gold standard and currency redemption,Banking and Monetary Policy
1042498,abandonment of the gold standard,Banking and Monetary Policy
1042501,gold reserves for internal currency,Banking and Monetary Policy
1042516,transfer of chartered bank gold reserves,Banking and Monetary Policy
1042502,establishment of a central bank,Banking and Monetary Policy
1042504,gold backing for internal currency,Banking and Monetary Policy
1042515,dividend payments of the Bank of Canada,Banking and Monetary Policy
1042505,international currency stabilization and gold standard policy,Banking and Monetary Policy
1042494,gold redemption requirements for bank notes,Banking and Monetary Policy
1042534,chartered bank reserve requirements,Banking and Monetary Policy
1042530,silver purchase restrictions for the Bank of Canada,Banking and Monetary Policy
1042538,chartered bank reserve requirements,Banking and Monetary Policy
1042563,national credit utilization in central banking,Banking and Monetary Policy
1042532,chartered bank reserve requirements,Banking and Monetary Policy
1042553,circulation of money in Bank of Canada legislation,Banking and Monetary Policy
1042560,administration of the Bank of Canada Act,Banking and Monetary Policy
1042522,Bank of Canada silver purchase policies,Banking and Monetary Policy
1042535,chartered bank reserve requirements for Bank of Canada,Banking and Monetary Policy
1042569,increase of dominion note issue,Banking and Monetary Policy
1042558,division of Bank of Canada gold profits,Banking and Monetary Policy
1042540,establishment of the Bank of Canada,Banking and Monetary Policy
1042521,silver purchase restrictions in the Bank of Canada Act,Banking and Monetary Policy
1042570,controlled inflation and monetary policy,Banking and Monetary Policy
1042564,national debt and bond assets,Public Finance and Taxation
1042733,investigation into Kingston penitentiary conditions,"Justice, Constitution, and Indigenous Affairs"
1041912,appointment of central bank officials,Banking and Monetary Policy
1042605,taxation of non-resident trust income,Public Finance and Taxation
1042663,St. Vincent de Paul penitentiary water main extension,"Justice, Constitution, and Indigenous Affairs"
1042641,retroactive insurance company registration legislation,"Justice, Constitution, and Indigenous Affairs"
1041824,public ownership of the Bank of Canada,Banking and Monetary Policy
1042653,retroactive insurance legislation,"Justice, Constitution, and Indigenous Affairs"
1042619,retroactive Income War Tax Act provisions,Public Finance and Taxation
1042607,taxation of canadian estates and trusts,Public Finance and Taxation
1042704,resignation of a departmental official,Government and Parliamentary Affairs
1042690,compulsory chapel attendance in federal penitentiaries,"Justice, Constitution, and Indigenous Affairs"
1042657,penitentiary guard shift schedules,"Justice, Constitution, and Indigenous Affairs"
1042768,tendering requirements for public works projects,Government and Parliamentary Affairs
1042824,Public Works Construction Act appropriations,Public Finance and Taxation
1042595,foreign currency exchange rates,Banking and Monetary Policy
1042580,Dominion note issuance and currency policy,Banking and Monetary Policy
1042577,expansion of dominion notes circulation,Banking and Monetary Policy
1042804,construction of tobacco warehouses,Agriculture and Food Policy
1042719,conditions at Kingston penitentiary,"Justice, Constitution, and Indigenous Affairs"
1042686,Kingston Penitentiary prisoner corporal punishment,"Justice, Constitution, and Indigenous Affairs"
1042621,retroactive taxation of insurance company income,Public Finance and Taxation
1042748,public works construction and unemployment relief policies,Social Welfare and Labour
1042640,legal validation of foreign insurance company litigation,"Justice, Constitution, and Indigenous Affairs"
1042783,Public Works Construction Act administration and labour,Social Welfare and Labour
1042685,investigation of penitentiary disciplinary practices,"Justice, Constitution, and Indigenous Affairs"
1042608,taxation of non-resident estates and trusts,Public Finance and Taxation
1042629,retroactive legislation for insurance company registration,"Justice, Constitution, and Indigenous Affairs"
1042754,public works construction projects,Public Finance and Taxation
1042700,management of Kingston Penitentiary during riots,"Justice, Constitution, and Indigenous Affairs"
1042839,public works projects in prince albert constituency,Public Finance and Taxation
1042846,reallocation of public works construction funds,Public Finance and Taxation
1042764,partisan distribution of public works funding,Public Finance and Taxation
1042830,public works contracting and labour standards,Social Welfare and Labour
1042771,public works employment and contract distribution,Social Welfare and Labour
1042752,partisan distribution of public works funding,Public Finance and Taxation
1042784,inequitable allocation of public works funding,Public Finance and Taxation
1042597,depreciation of Canadian currency and trade statistics,Banking and Monetary Policy
1042634,regulation of foreign insurance companies,"Justice, Constitution, and Indigenous Affairs"
1042714,Kingston penitentiary riot and Tim Buck treatment,"Justice, Constitution, and Indigenous Affairs"
1042828,fair wages policy for public works construction,Social Welfare and Labour
1042787,Public Works Construction Act electoral spending allegations,Government and Parliamentary Affairs
1042812,partisan distribution of public works funding,Public Finance and Taxation
1042736,penitentiary system reform and administration,"Justice, Constitution, and Indigenous Affairs"
1042667,penitentiary guard shift schedules,"Justice, Constitution, and Indigenous Affairs"
1042702,Kingston Penitentiary discipline and management,"Justice, Constitution, and Indigenous Affairs"
