topic,category,error
acid rain and Canada-US relations,Trade & Foreign Affairs,
Canada-US relations on acid rain,Trade & Foreign Affairs,
Canada-US NOx emissions negotiations,Trade & Foreign Affairs,
NOx emissions and acid rain discussions,Trade & Foreign Affairs,
Canada-US treaty negotiations,Trade & Foreign Affairs,
Montreal development projects and unemployment,Economy & Public Finance,
Montreal economic development projects,Economy & Public Finance,
Canadian film distribution market legislation,"Sectoral Policy: Resources, Agriculture & Transport",
Canada-US free trade agreement consistency with GATT,Trade & Foreign Affairs,
Conference Board report on economic performance,Economy & Public Finance,
Canadian economic performance,Economy & Public Finance,
NATO actions supporting INF agreement,Defence & National Security,
NATO arms control and European stability,Defence & National Security,
withdrawal of private members' business,Parliamentary Procedure,
western Canada economic diversification funding,Economy & Public Finance,
western economic diversification and interest rates,Economy & Public Finance,
full employment and economic development strategies,Economy & Public Finance,
broken promises and western economic development,Economy & Public Finance,
regional racism and party representation,Government & Electoral Affairs,
New Democratic Party personality,Government & Electoral Affairs,
filibuster and environmental bill,Parliamentary Procedure,
western diversification and job creation,Economy & Public Finance,
entrenchment of property rights in constitution,Constitutional & Intergovernmental Relations,
multiculturalism committee hearing procedures,Parliamentary Procedure,
Telefilm Canada funding and operations,"Sectoral Policy: Resources, Agriculture & Transport",
Masset airport development and certification,"Sectoral Policy: Resources, Agriculture & Transport",
child safety regulations,Social Policy,
UNRWA food deliveries to Gazan refugee camps,Trade & Foreign Affairs,
parliamentary procedure on debate recognition,Parliamentary Procedure,
environmental bill amendments,Parliamentary Procedure,
quality of parliamentary debate,Parliamentary Procedure,
curtailment of debate on environment,Parliamentary Procedure,
debate on environmental bill and other legislation,Parliamentary Procedure,
federal pollution of the Ottawa River,"Sectoral Policy: Resources, Agriculture & Transport",
western Canada drought conditions,"Sectoral Policy: Resources, Agriculture & Transport",
VIA Rail rolling stock and service,"Sectoral Policy: Resources, Agriculture & Transport",
personal income tax increases,Taxation,
income tax burden on Canadian families,Taxation,
government revenue and economic growth,Economy & Public Finance,
taxation changes since 1984,Taxation,
drought conditions in Western Canada,"Sectoral Policy: Resources, Agriculture & Transport",
soil and water conservation funding,"Sectoral Policy: Resources, Agriculture & Transport",
reduction of poverty and child tax credit,Social Policy,
child care and women's employment strategy,Social Policy,
legislation on sexual abuse of children,"Justice, Rights & Immigration",
Canada's role in Geneva environmental treaty,Trade & Foreign Affairs,
CBC outlet in New Brunswick,Government & Electoral Affairs,
kaon project funding at University of British Columbia,Economy & Public Finance,
CN shops contract for VIA Rail rolling stock,"Sectoral Policy: Resources, Agriculture & Transport",
VIA Rail rolling stock refurbishing,"Sectoral Policy: Resources, Agriculture & Transport",
impact of British policy on Canadian trapping,Trade & Foreign Affairs,
Western Economic Diversification Act debate procedures,Parliamentary Procedure,
regional economic development co-ordination,Economy & Public Finance,
Western Diversification Office advocacy for western projects,Economy & Public Finance,
Western Diversification Office project funding,Economy & Public Finance,
Western Economic Diversification Program,Economy & Public Finance,
western diversification bill committee delay tactics,Parliamentary Procedure,
motion to continue sitting for western economic diversification bill,Parliamentary Procedure,
western diversification initiative benefits,Economy & Public Finance,
Western Economic Diversification Department,Economy & Public Finance,
National Energy Program and western diversification,Economy & Public Finance,
Western Diversification Office funding rejection,Economy & Public Finance,
western diversification fund legislation,Economy & Public Finance,
western Canada economic diversification,Economy & Public Finance,
public opinion on Conservative Party,Government & Electoral Affairs,
Western Diversification Office funding controversy,Economy & Public Finance,
western diversification program funding,Economy & Public Finance,
western economic diversification program,Economy & Public Finance,
Atomic Energy of Canada Limited information program funding,"Sectoral Policy: Resources, Agriculture & Transport",
Public Works Canada contracts in Edmonton West,Economy & Public Finance,
Canada-Thailand asbestos trade and regulation,Trade & Foreign Affairs,
Western Diversification Program legislation,Economy & Public Finance,
regional development programs in Canada,Economy & Public Finance,
Western diversification bill debate tactics,Parliamentary Procedure,
parliamentary procedure debate extension,Parliamentary Procedure,
western farmers and business support,Economy & Public Finance,
debate on western economic initiatives,Economy & Public Finance,
regional equality and western Canada,Constitutional & Intergovernmental Relations,
Western Diversification Office lumber market program,"Sectoral Policy: Resources, Agriculture & Transport",
funding for Thompson Nicola Valley Manufacturers Trade Fair,Economy & Public Finance,
western Canada federal government failures,Economy & Public Finance,
western diversification funding criteria,Economy & Public Finance,
Western Diversification Office legislation,Economy & Public Finance,
high interest rates and western economic development,Economy & Public Finance,
small business and job creation,Economy & Public Finance,
economic activity and tax revenues,Economy & Public Finance,
"new taxes on telephone, cable, pet food, soft drinks",Taxation,
federal government revenue as percentage of national income,Economy & Public Finance,
minister of finance tax policies and deficits,Economy & Public Finance,
electric power rates in Prince Edward Island,"Sectoral Policy: Resources, Agriculture & Transport",
South Moresby Island national park reserve,"Sectoral Policy: Resources, Agriculture & Transport",
South Moresby Island mining claims,"Sectoral Policy: Resources, Agriculture & Transport",
environmental protection agreement with British Columbia,"Sectoral Policy: Resources, Agriculture & Transport",
South Moresby agreement,"Sectoral Policy: Resources, Agriculture & Transport",
federal responsibility for Indian students,Social Policy,
federal-provincial agreement on Indian education,Social Policy,
ministerial commitments on health and welfare,Social Policy,
food aid to Ethiopia,Trade & Foreign Affairs,
time allocation for Bill C-113,Parliamentary Procedure,
Criminal Code amendments for victims of crime,"Justice, Rights & Immigration",
criminal code amendments for victims of crime,"Justice, Rights & Immigration",
crime victims assistance and rights,"Justice, Rights & Immigration",
socialist party internal policy debate,Government & Electoral Affairs,
social housing funding allocation,Social Policy,
legislative agenda and opposition filibustering,Parliamentary Procedure,
Goodyear plant closure and new investment,Economy & Public Finance,
visit of Queen Beatrix and sitting arrangements,Parliamentary Procedure,
Standing Orders and government control of business,Parliamentary Procedure,
time allocation on Western Diversification Fund,Parliamentary Procedure,
order of business and government control,Parliamentary Procedure,
order of business consistency,Parliamentary Procedure,
bowhead whale hunting and research,"Sectoral Policy: Resources, Agriculture & Transport",
Canada's withdrawal from International Whaling Commission,Trade & Foreign Affairs,
member's privilege to ask questions,Parliamentary Procedure,
parliamentary privilege and defamation action,Parliamentary Procedure,
parliamentary privilege and legal action,Parliamentary Procedure,
Member's privilege to ask questions,Parliamentary Procedure,
research into schizophrenia,Social Policy,
environmental protection legislation history,"Sectoral Policy: Resources, Agriculture & Transport",
environmental bill of rights and protection act,"Sectoral Policy: Resources, Agriculture & Transport",
sewage treatment facilities and environmental protection,"Sectoral Policy: Resources, Agriculture & Transport",
environmental protection act regulations,"Sectoral Policy: Resources, Agriculture & Transport",
environmental protection legislation and departmental responsibility,"Sectoral Policy: Resources, Agriculture & Transport",
product misuse and reformulation,"Sectoral Policy: Resources, Agriculture & Transport",
